Hour number,Solar,Wind,SolarTracking,Grid,RampDummy
4455,0.987251408,0.22227,0,0,1
4456,0.987251408,0.176210455,0,0,1
4457,0.977315874,0.152136818,0,0,1
4458,0.682944616,0.315085455,0,0,1
4459,0.136075816,0.639534091,0,0,1
4460,0,0.895567273,0,0,1
4461,0,0.911995455,0,0,1
4462,0,0.912134545,0,0,1
4463,0,0.911910455,0,0,1
4464,0,0.910938636,0,0,1
4465,0,0.839421364,0,0,1
4466,0,0.743685455,0,0,1
4467,0,0.716039091,0,0,1
4468,0,0.710725,0,0,1
4469,0,0.694757273,0,0,1
4470,0.066689524,0.576670909,0,0,1
4471,0.098665915,0.156693636,0,0,1
4472,0.369854557,0.060326818,0,0,1
4473,0.153835185,0.132187727,0,0,1
4474,0.282589302,0.09727,0,0,1
4475,0.28863816,0.098777727,0,0,1
4476,0.288341442,0.262991364,0,0,1
4477,0.234283273,0.383332273,0,0,1
4478,0.562725268,0.287218636,0,0,1
4479,0.619809032,0.251698636,0,0,1
4480,0.701696072,0.242312727,0,0,1
4481,0.353582961,0.155332727,0,0,1
4482,0.344710678,0.122344091,0,0,1
4483,0.134499305,0.227230909,0,0,1
4484,0,0.287988636,0,0,1
4485,0,0.454509545,0,0,1
4486,0,0.522874091,0,0,1
4487,0,0.738294091,0,0,1
4488,0,0.886174545,0,0,1
4489,0,0.909615455,0,0,1
4490,0,0.912644545,0,0,1
4491,0,0.911902727,0,0,1
4492,0,0.909329545,0,0,1
4493,0,0.906864545,0,0,1
4494,0.216284805,0.90507,0,0,1
4495,0.774127262,0.897352273,0,0,1
4496,0.933726255,0.876677273,0,0,1
4497,0.987251408,0.785421818,0,0,1
4498,0.987251408,0.555613636,0,0,1
4499,0.987251408,0.248031364,0,0,1
4500,0.987251408,0.199849091,0,0,1
4501,0.987251408,0.208975909,0,0,1
4502,0.987251408,0.273178182,0,0,1
4503,0.987251408,0.39506,0,0,1
4504,0.987251408,0.528396364,0,0,1
4505,0.979686892,0.642487727,0,0,1
4506,0.792977525,0.805704545,0,0,1
4507,0.19685315,0.891363636,0,0,1
4508,0,0.908975909,0,0,1
4509,0,0.886267273,0,0,1
4510,0,0.883329545,0,0,1
4511,0,0.881316364,0,0,1
4512,0,0.879914545,0,0,1
4513,0,0.881272273,0,0,1
4514,0,0.886275455,0,0,1
4515,0,0.888367727,0,0,1
4516,0,0.892460909,0,0,1
4517,0,0.898028182,0,0,1
4518,0.221411519,0.907019091,0,0,1
4519,0.805665433,0.912188636,0,0,1
4520,0.980945062,0.890737273,0,0,1
